Original Language,Count
en,32254
fr,2414
it,1467
ja,1349
de,1027
es,967
ru,806
hi,508
ko,444
zh,409
sv,382
cn,313
pt,307
fi,273
nl,241
da,224
pl,213
tr,142
cs,129
el,109
no,105
fa,100
hu,98
ta,78
th,76
he,67
sr,63
ro,57
te,45
ar,39
ml,36
xx,33
hr,29
bn,29
mr,25
is,24
tl,23
et,23
id,20
ka,18
sl,17
lv,17
uk,16
bs,14
ca,12
vi,10
bg,10
ab,10
sk,9
lt,9
ur,8
nb,6
wo,5
sh,5
ms,5
mk,5
sq,5
kn,3
eu,3
ky,3
kk,3
ku,3
bm,3
pa,2
ne,2
ps,2
iu,2
mn,2
af,2
am,2
bo,2
lo,2
gl,1
rw,1
uz,1
sm,1
eo,1
hy,1
lb,1
mt,1
ay,1
zu,1
cy,1
tg,1
jv,1
qu,1
la,1
fy,1
si,1
