Runtime,Count
90.0,2556
0.0,1558
100.0,1470
95.0,1412
93.0,1214
96.0,1104
92.0,1080
94.0,1062
91.0,1057
88.0,1032
97.0,1027
85.0,1024
98.0,1019
105.0,1002
89.0,958
87.0,919
110.0,850
86.0,846
99.0,794
102.0,791
104.0,740
103.0,739
80.0,736
101.0,705
84.0,700
83.0,606
108.0,603
106.0,596
120.0,591
107.0,589
82.0,578
115.0,468
112.0,464
81.0,432
109.0,410
75.0,403
111.0,398
113.0,396
118.0,341
78.0,341
114.0,336
117.0,325
116.0,321
79.0,294
119.0,285
77.0,263
76.0,256
60.0,252
72.0,240
124.0,233
123.0,229
74.0,228
125.0,225
122.0,213
121.0,212
130.0,209
70.0,203
73.0,185
127.0,184
128.0,182
71.0,160
126.0,154
135.0,144
140.0,134
129.0,131
132.0,127
68.0,116
65.0,113
1.0,107
134.0,107
7.0,103
131.0,102
133.0,101
66.0,100
67.0,98
150.0,93
138.0,93
69.0,92
136.0,91
137.0,91
63.0,91
62.0,86
61.0,84
139.0,84
58.0,84
64.0,81
180.0,79
8.0,78
145.0,78
59.0,76
50.0,72
6.0,72
141.0,68
55.0,66
10.0,64
45.0,64
144.0,64
9.0,63
30.0,62
142.0,61
143.0,60
52.0,56
53.0,53
4.0,51
57.0,51
155.0,51
25.0,51
5.0,51
54.0,50
160.0,50
170.0,48
3.0,48
12.0,46
20.0,45
15.0,45
11.0,45
48.0,44
56.0,42
157.0,42
40.0,42
146.0,41
13.0,40
151.0,39
149.0,37
165.0,37
46.0,35
153.0,35
148.0,34
18.0,34
14.0,33
17.0,33
2.0,33
147.0,33
152.0,32
22.0,31
154.0,31
16.0,31
26.0,30
162.0,29
156.0,29
240.0,29
159.0,28
163.0,28
158.0,27
44.0,27
42.0,26
47.0,26
49.0,26
175.0,25
29.0,25
161.0,24
172.0,24
27.0,24
166.0,24
43.0,23
35.0,23
178.0,23
174.0,23
167.0,22
24.0,22
51.0,22
168.0,22
21.0,21
19.0,19
173.0,19
39.0,19
28.0,19
177.0,18
169.0,18
23.0,17
34.0,17
38.0,16
185.0,16
183.0,16
41.0,15
33.0,14
176.0,14
181.0,14
360.0,14
210.0,14
171.0,13
182.0,13
200.0,13
32.0,13
300.0,12
36.0,12
179.0,12
31.0,11
164.0,11
270.0,11
191.0,10
184.0,9
193.0,9
186.0,9
189.0,9
195.0,9
188.0,8
208.0,8
197.0,7
192.0,7
190.0,7
198.0,7
235.0,6
37.0,6
207.0,6
201.0,6
225.0,6
237.0,5
204.0,5
220.0,5
187.0,5
224.0,5
400.0,5
213.0,4
260.0,4
196.0,4
255.0,4
216.0,4
239.0,4
320.0,4
272.0,3
252.0,3
250.0,3
199.0,3
236.0,3
223.0,3
194.0,3
248.0,3
206.0,3
244.0,3
263.0,2
265.0,2
229.0,2
214.0,2
203.0,2
264.0,2
334.0,2
217.0,2
287.0,2
432.0,2
600.0,2
254.0,2
290.0,2
215.0,2
500.0,2
202.0,2
212.0,2
550.0,2
366.0,2
340.0,2
450.0,2
205.0,2
209.0,2
246.0,2
315.0,2
292.0,2
386.0,2
245.0,2
273.0,2
523.0,1
476.0,1
330.0,1
359.0,1
313.0,1
452.0,1
463.0,1
395.0,1
705.0,1
585.0,1
583.0,1
669.0,1
211.0,1
275.0,1
464.0,1
232.0,1
540.0,1
258.0,1
349.0,1
363.0,1
247.0,1
227.0,1
388.0,1
321.0,1
268.0,1
353.0,1
436.0,1
350.0,1
468.0,1
480.0,1
299.0,1
543.0,1
383.0,1
306.0,1
222.0,1
311.0,1
644.0,1
440.0,1
389.0,1
417.0,1
561.0,1
501.0,1
234.0,1
345.0,1
230.0,1
219.0,1
442.0,1
566.0,1
283.0,1
399.0,1
552.0,1
332.0,1
282.0,1
316.0,1
241.0,1
221.0,1
352.0,1
422.0,1
317.0,1
251.0,1
267.0,1
720.0,1
357.0,1
271.0,1
338.0,1
298.0,1
294.0,1
233.0,1
285.0,1
291.0,1
470.0,1
288.0,1
551.0,1
277.0,1
485.0,1
392.0,1
286.0,1
370.0,1
680.0,1
289.0,1
281.0,1
242.0,1
336.0,1
410.0,1
238.0,1
780.0,1
